"name","genre","menu","address","phone","update"
"札幌すし　　（和食(すし)）","すし)","◆テイクアウト
・にぎりすし　一人前(￥1440)
・穴子箱すし 一本(￥1260)
・巻きすし 一本(￥460)

※予約必須
※デリバリー可
※お電話にてご予約承ります。
※他のメニュー、配達範囲についてはお気軽にお電話下さい。","大阪府豊中市東豊中町6丁目12-20-1 シャレール東豊中店舗","","2020/04/15"
"大阪王将豊中熊野店　　（中華）","中華","◆テイクアウト
・餃子弁当(￥756)
・唐揚げ弁当(￥648）　他にもテイクアウトメニュー多数ございます。

※電話による注文予約可
※餃子のみ箱代が必要です。","大阪府豊中市熊野町2-9-58","06-4865-5210","2020/05/04"
"kOREAN DAINING 石鍋KOH　（韓国料理）","韓国料理","◆テイクアウト
・石鍋おうち飲みセット(￥4378)
[石鍋２人前材料、蒸し豚、ナムル盛合せ、トッポキ、キムチ、チャムイスルボトル]
・スントゥブセット(￥1309)
・プルコギ弁当(￥869)

※電話による注文予約可
※デリバリー可
※ご注文後にお作り致しますのでお電話頂ければスムーズです。
※その他店内メニューもテイクアウトできます。","大阪府豊中市上新田4-16-10","06-6872-5128","2020/04/22"
"おた福　豊中千里店　（和食）","和食","◆テイクアウト
・おた福天丼弁当(￥810)
・海老野菜天丼弁当(￥702)
・海鮮天丼弁当(￥918)

※電話による注文予約可
","大阪府豊中市新千里南町2-5-3","06-6872-1102","2020/04/26"
"金比羅製麺　豊中千里店　（和食）","和食","◆テイクアウト
・きつねうどん（￥410)
・とろ玉うどん(￥453)
・ぶっかけうどん(￥302)

※電話による注文予約可
","大阪府豊中市新千里南町2-5-3","06-6832-2202","2020/04/26"
"とんがらし ツバメ食堂　（和食 洋食）","和食 洋食","◆テイクアウト
・日替わり弁当(￥1000)
・ハンバーグ弁当(￥1200)
・お惣菜(￥450)

※電話による注文予約可
","大阪府豊中市東豊中町 5丁目12-1","06-6846-0740","2020/05/08"
"味処  和  かず　（和食）","和食","◆テイクアウト
・海鮮丼(￥1620)
・鰻 丼(￥1490)
・にぎり盛(￥1300～)

※電話による注文予約可
※魚の美味しいお店です。作り置きはしてません。
※ご注文頂いてから作りますので少しお時間頂く場合がございます。
※他のTAKEOUTメニューもございます。お気軽にお尋ねください。","大阪府豊中市新千里西町3-2-12","06-6872-5244","2020/04/28"
"ソルビバ＆タジマヤ　（オーガニック鉄板焼き）","オーガニック鉄板焼き","◆テイクアウト
・但馬牛とイベリコ豚のプラチナハンバーグ弁当(￥1000)
・国産黒毛和牛のステーキ弁当(￥2500)
・特製ローストビーフ丼　温玉を添えて(￥1200)

※電話による注文予約可
※デリバリー可。【配達エリア】千里中央駅近隣。お気軽にご相談ください。
※出前館対応可
","大阪府豊中市新千里東町1丁目3番 せんちゅうパル4階","06-6831-1028","2020/05/09"
"バール イルコンチェルト　（イタリアンバール）","イタリアンバール","◆テイクアウト
・ロコモコ弁当(￥600)
・グリルチキン弁当(￥750)
・パエリア弁当(￥1200)
・家飲みバルセット(￥1280）
※弁当は前日迄にご予約お願い致します！
※予約必須
※他にも多数テイクアウト出来ます。
※当店レギュラーメニューのテイクアウトは全て20%OFF!!
※ご注文頂いてから調理致しますので、事前にご予約いただくとスムースにお渡し出来ます。
※お電話か http://instagram.com/il_concerto?utm_source=qr でもご予約頂けます。","大阪府豊中市新千里東町1-3-54 せんちゅうパル地下１階","06-6832-9503","2020/04/20"
"野菜とつぶつぶ アプサラカフェ LABI千里中央店（自然食カフェ）","自然食カフェ","◆テイクアウト
・アプサラ弁当(￥850)
・カレー弁当(￥750)
・アジアの気まぐれ弁当(￥670)
※容器持参で50円引き

※電話による注文予約可
※千里中央エリア(新千里東町1丁目）のみの宅配を準備中。エリア内の方はお問い合わせください","大阪府豊中市新千里東町1-2-20 LABI千里　４F","06-6836-5980","2020/04/28"
"ソルビバベーカリー　（ベーカリー）","ベーカリー","◆テイクアウト
・但馬屋ステーキコロッケ(￥194)
・但馬屋メンチカツ(￥237)
・但馬屋メンチカツバーガー(￥356)

※電話による注文予約可
※デリバリーあり
","大阪府豊中市新千里東町1丁目3番 せんちゅうパル2階","06-6318-6511","2020/04/20"
"おでん居酒屋きたはま　（和食）","和食","◆テイクアウト
・おでん100円～(税抜)
※その他メニューはお問い合わせ下さい。

※箱代別途
※電話による注文予約可
※テイクアウトに向いてないおでんの具もございます。
※定番居酒屋メニュー、季節の一品物お持ち帰りも対応しております。
※お気軽にお問い合わせ下さい。近日酒類の販売も開始致します。","大阪府豊中市新千里東町 1-3-53せんちゅうぱるB1","06-6832-9502","2020/04/21"
"焼鳥だいご　（焼鳥）","焼鳥","◆テイクアウト
・とり身串(￥120)
・手羽唐(￥500)
・ひねもも肉「ポン酢、柚子胡椒、塩コショウ」(￥600)

※お電話で��予約ください。
","大阪府豊中市新千里東町1-3-11 せんちゅうパル1階","06-6832-0077","2020/04/22"
"千里しゃぶちん本店　（一人鍋しゃぶしゃぶ専門店）","一人鍋しゃぶしゃぶ専門店","◆テイクアウト
・テイクアウトセットが２０％OFFで２０００円から
　｢季節のお野菜15種類＋お好みのお肉（未経産雌の和牛ロース、カタロース、白金豚、やんばる島豚）＋48年変わらぬ製法のごまタレ、ポンズ＋切りたて薬味ねぎ＋青森ニンニク薬味｣

※テイクアウトセットはご予約制になっております。
ご予約専用ダイヤル tel:0668329508 までご注文お待ちしております。","大阪府豊中市新千里東町１－３－５９ せんちゅうパル地下一階","06-6832-9508","2020/04/24"
"金比羅製麺　豊中北緑丘店　（和食）","和食","◆テイクアウト
・きつねうどん(￥410)
・とろ玉うどん(￥453)
・ぶっかけうどん(￥302)

※電話による注文予約可
","大阪府豊中市北緑丘2-8-6","06-6855-5612","2020/04/26"
"IPPO 千里中央店　（和食）","和食","◆テイクアウト
・もつ鍋(￥1800)
・唐揚げ油淋鶏弁当(￥600)他　各種弁当(￥600)

※電話による注文予約可
※宅配は近隣可能。ご予約時にお問い合わせください。","大阪府豊中市新千里東町 せんちゅうぱるB1F","06-6155-4943","2020/04/28"
"鉄板焼きれすとらん中はら　（ステーキハウス）","ステーキハウス","◆テイクアウト
・ステーキ弁当(￥1620）
・ステーキ弁当(￥2376）
・国産牛ヒレ又はサーロインステーキ弁当(￥3456)

※予約必須
","大阪府豊中市上新田2丁目15-5 千里サンハイツ２F","06-6832-2480","2020/05/02"
"CAFE STEEN　（カフェ）","カフェ","◆テイクアウト
・カシミールカレー(￥750)
・キッズカレー(￥300)
・焼きドーナツ(￥180～)

※予約が必須
※現在テイクアウトのみの営業です。
","大阪府豊中市新千里北町2-20-14-105 セクレア新千里北町","06-6170-7698","2020/05/08"
"スンドゥブ専門店KAM　（韓国料理）","韓国料理","◆テイクアウト
・海鮮スンドゥブ　850円
※お家でも、KAMのスンドゥブを楽しめます！
","大阪府豊中市上野西3-17-18","06-6852-0110","2020/04/07"
"Basic珈琲　（珈琲屋)","珈琲屋","◆テイクアウト
・ネルドリップ珈琲(ホット・アイス)　￥410～
・ドリップバッグ5個セット(￥700)
・珈琲豆（￥580～/100g)

※電話による注文予約可
※合計金額1,000円以上で指定駐車場1時間分キャッシュバックします
※ネット通販もございます　 https://basiccoffee.thebase.in/ ","大阪府豊中市西緑丘3-13-1 シンミ西緑丘ビル1階","","2020/04/08"
"AT THE 21　（お好み焼き）","お好み焼き","◆テイクアウト
・お好み焼きブタ(￥950)
・焼きそばブタ(￥950)
・モダン焼き(￥1300)

※電話による注文予約可
※自粛要請期間中営業時間を縮小する場合もございますので
　予めご了承ください。

","大阪府豊中市上野東3-18-19","06-6848-3660","2020/04/08"
"チャイナダイニン　浪曼路　（中華）","中華","◆宅配弁当
・カジュアルランチBOX（￥648～）
・中華弁当(￥1080～)
・睡蓮(￥2160）

※電話注文によるデリバリー
詳細はこちらで　 https://www.re-life.jp/information/1139/ ","大阪府豊中市桜の町7-10-4","06-6858-6223","2020/04/09"
"和菓子処　喜楽　（和菓子）","和菓子","◆テイクアウト
・どら焼き(￥180)
・イチゴ大福(￥220)
・柏餅(￥180)　　　他

※電話による注文予約可
","大阪府豊中市西緑丘3－13－12","06-6335-4313","2020/04/10"
"薬膳スープカレー香樹　　（スープカレー・カフェ）","スープカレー・カフェ","◆テイクアウト
・野菜とチキンのスープカレー(￥1100)
・トマトとナスとポークのスープカレー(￥1200)
・ニラと親鶏のスープカレー(￥1200)

※電話による注文予約可
※テイクアウトに対応できないメニューがあります。お問い合わせください。
","大阪府豊中市少路2-9-18　1F","06-4865-5258","2020/04/10"
"ステーキハウス神楽　豊中店　（鉄板焼き）","鉄板焼き","◆テイクアウト
・カツサンド(￥1300)
・サーロインステーキ丼(￥1500)
・ローストビーフ丼(￥1500)

※電話による注文予約可
","大阪府豊中市少路2-8-13","06-6850-2983","2020/04/10"
"アランチーノ大阪　　（イタリアン）","イタリアン","◆テイクアウト
・魚介類のトマトソース スパゲティ（￥2,333)
・黒トビコとカラマリの漁師風あっさりスパゲッティ(￥1,555)
・生ハムとルッコラのピッツァ　26cm(￥1,728)

※予約必須
※アランチーノをテイクアウト特別価格、通常商品代金の20％OFFの価格で、ご自宅にてお楽しみ頂けます。
※ご注文より、商品調理時間として30分程お時間を頂いております。
※混み合いました場合、ご注文より30分以上お時間を頂く場合がございます。
※一部対応していない商品も御座いますので、詳しくは http://arancino-japan.com/ を参照下さい。
","大阪府豊中市向丘1-7-5","06-6845-0550","2020/04/12"
"Bakery&Cafe Dining RACCOLTA　（カフェ）","カフェ","◆テイクアウト
・焼きチーズドッグ(￥490)
・ローストポークと有機野菜のライスプレート(￥830)
・スパイシーキーマカレー(￥830)
※箱代別途
※電話による注文予約可
","大阪府豊中市西緑丘3-26-23","06-6840-7772","2020/04/15"
"鳥処　やどりぎ　（鶏料理）","鶏料理","◆テイクアウト
・唐揚げ弁当(￥650)
・特製親子丼(￥700)
・まかない炒飯(￥600)

※電話による注文予約可
※時間短縮要請期間中の営業時間、営業内容です。","大阪府豊中市上野東3-17-30","06-7174-1782","2020/04/15"
"Dining IKINA　（創作ダイニング）","創作ダイニング","◆テイクアウト
・日替わり「IKINA弁当箱」（￥1200)　
※電話による注文予約可
※前日21:00までのご予約→当日12:00～17:00でのお引き取り
※店頭販売も御座います","大阪府豊中市西緑丘3-13-1 シンミ西緑丘ビルB1","06-6845-1213","2020/04/19"
"カフェ＆レストランみうらんど　（イタリアン）","イタリアン","◆テイクアウト
・塩バター角食(￥313)
・カレーパン(￥205)
・シナモンロール(￥205)

※電話による注文予約可
","大阪府豊中市上野西3丁目13-15","06-6848-0300","2020/04/18"
"gite　（ビストロ）","ビストロ","◆テイクアウト
・白金豚の煮豚カツサンド弁当(￥1200)
・gite特製日替わり弁当(￥1000)
・煮込みハンバーグなど色々あります。お電話でお問い合わせください。

※電話による注文予約可
※お待たせする場合がありますので、事前予約がおすすめです。
※現金のみでお願いします。
※ケーキも可","大阪府豊中市西緑丘3-13-3 ヴェルデ緑丘101","06-6858-1310","2020/04/20"
"オリエンタルキッチン　タータンナディ　（アジア料理）","アジア料理","◆テイクアウト
・タータンナディランチ(￥1100)
・バターチキンカレーランチセット(￥1300円)
・チーズナン(￥480)

※価格は税別です。
※電話による注文予約可
※一部テイクアウトが出来ない商品がございます。
※お気軽にお問い合わせください。
※メニューは、 https://tartannady-blog.com/ よりご覧いただけます。","大阪府豊中市向丘3－11－45 ローザ向丘1F","06-6852-0950","2020/04/21"
"テジャクッチーナ　（イタリアンバル）","イタリアンバル","◆テイクアウト
・ランチ　自家製ハンバーグ弁当(￥700)
・ディナー　野菜たっぷり生ハムのペペロンチーノ　S(￥1300)M(￥1700)

※電話による注文予約可
","大阪府豊中市少路1-10-27 サンプラザ少路1Ｆ","06-4866-5977","2020/04/23"
"かごの屋　豊中少路店　（和食）","和食","◆テイクアウト
・炙り鶏の親子丼(￥600)
・豚フィレかつ丼(￥700)
・豚の生姜焼き定食(￥750)

※電話による注文予約可
※テイクアウトお支払いは現金のみ","大阪府豊中市少路1-1-38","06-6840-8511","2020/04/28"
"島熊山グラーヴ　（日本料理・ステーキハウス・洋食）","日本料理・ステーキハウス・洋食","◆テイクアウト
・30品目の和食お弁当(￥1620)
・平目のフライお弁当(￥972)

※電話による注文予約可
※30品目の和食お弁当はお造りが入ってるのでお召し上がり直前にお持ち帰りください。
※その他アラカルトのテイクアウトもございます。店頭メニューでどうぞ。","大阪府豊中市緑丘１－２５－５","06-6848-1256","2020/05/02"
"イタリア酒BAR ドロップイン　（パスタバル）","パスタバル","◆テイクアウトメニュー
・ベーコンガーリックペペロンチーノ(￥700)
・ウィンナーとベーコンのペペロンチーノ(￥800)
・お肉たっぷりミートソースパスタ(￥850)
・カットステーキとミニカツBENTO(￥1000)
　他メニューは https://www.facebook.com/italysakabardropin/ でご確認下さい。

※電話による注文予約可
※ご注文後にお作りしますので事前にお電話でご予約下さい。","大阪府豊中市春日町1-1-5","06-6852-3767","2020/04/28"
"パン工房　リタブランジェ　（パン&カフェ）","パン&カフェ","◆テイクアウト
・本日のリタライス（￥700)
・四元豚ミラノ風チーズカツレツ(￥900
・サービスパンセット(￥500(実質￥700以上))

※予約が必須
※デリバリーあり
※デラバリーには事前予約が必要ですので、 https://litalita.net/ をチェックしてください。","大阪府豊中市待兼山町1ー26 バンプーシェーン","06-4867-3305","2020/04/18"
"南ばん亭　（ラーメン）","ラーメン","◆テイクアウト
・白らーめんおうちセット(￥400)
・焼き飯(￥500)
・焼きそば(￥600)

※別途容器代がかかります。
※電話による注文予約可
※デリバリー有
※Uber Eats対応可","大阪府豊中市桜の町2-2-5","06-6853-8300","2020/04/21"
"ステーキのどん　中環柴原店　（ステーキ　ハンバーグ）","ステーキ　ハンバーグ","◆テイクアウト
・どんハンバーグ(￥842)
・チーズインハンバーグ(￥950)
・カットステーキS(￥1490)

※電話による注文予約可
※テイクアウト１０％割引実施中定休日なし","大阪府豊中市刀根山元町5-50","06-6857-2992","2020/04/29"
"やきとり福福　（居酒屋）","居酒屋","◆テイクアウト
・日替りやきとり丼(￥650)（お昼）
・やきとり串(￥140均一)
・唐揚げ(￥432)

※電話予約必須
※商品が出来上がる5分前に、当店からお電話をおかけします。
※一部、テイクアウトに対応できない商品があります。
※詳しくは、お電話でお尋ね下さい。","大阪府豊中市春日町5-6-6","06-6845-9891","2020/04/18"
"太鼓亭　豊中春日店　（和食）","和食","◆テイクアウト
・肉カレーうどん(￥885)
・特製鍋焼きうどん(￥756)
・カツ丼(￥734)

※電話による注文予約可
","大阪府豊中市春日町5-9-18","06-6843-2777","2020/04/26"
"おいで屋　（粉物）","粉物","◆テイクアウト
・たこ焼き（6個入）(￥320）
・ぶた玉（￥450）
・焼きそば(￥350)

※電話による注文予約可
※お昼12時頃は、注文が重なる場合もあります。
※その場合はお待たせ30分～45分ぐらいかかります。","大阪府豊中市春日町3-1-50 シャトル松尾102号室","06-4865-6102","2020/05/03"
"割烹cob　（塩おでんと和食）","塩おでんと和食","◆テイクアウト
・おかず盛り合わせ 一人前 (￥800)
・塩おでん 各種（￥250～)
・逸品いろいろ

※電話予約必須
※メニューの詳細は随時Instagram又はFacebook（@割烹cob）で更新中です。","大阪府豊中市待兼山町21-5 ハイツ石橋1F","06-6398-7255","2020/05/09"
"The LOAF Cafe　（ベーカリーレストラン）","ベーカリーレストラン","◆テイクアウト
・日替わりBOX(￥500)
・フリットBOX(￥650)
・ハンバーグBOX(￥800)

※電話による注文予約可
※作り置きはせず、ご注文を頂いてからお作りしています。
※お時間を頂く場合がございますので、ご了承お願い致します。","大阪府豊中市清風荘2-4-23","06-6842-2217","2020/05/02"
"Joy‘s cafe（カフェ）","カフェ","◆お弁当
・日替わりランチ弁当(ご飯付き)800円
・おかずのみ弁当(ご飯無し)650円
・韓国風海苔巻き450円
","大阪府豊中市蛍池東町2-1-3武岡ビル1階","06-6848-4000","2020/04/07"
"ありすキッチンれすとらん（家庭料理）","家庭料理","◆テイクアウト弁当
・ランチボックス弁当(700円)
・おにぎり弁当(550円)
・幕の内(1,300円)　その他ご相談ください

","大阪府豊中市螢池東町２丁目４−５","06-6151-3016","2020/05/04"
"Da Kitchen HAWAIKI　（カフェ）","カフェ","◆テイクアウト
・ロコモコBENTO（昼 ￥800/夜・土日祝 ￥1000)
・ガーリックシュリンプBENTO（昼￥800/夜・土日祝 ￥1000)
・ハワイアンピザorゴルゴンゾーラと蜂蜜のピザ(￥1000)※終日

※電話による注文予約必須
※営業時間、メニュー等変更になる場合がございますので必ずお電話にてご確認ください。
※メニューについてはFBにも掲載しております。→ https://www.facebook.com/permalink.php?story_fbid=943054046114062&amp;id=100012284256971 ","大阪府豊中市蛍池東町2-3-9 HAWAIKI","06-7662-2033","2020/04/10"
"grand star cafe　（カフェ)","カフェ","◆テイクアウト
・ロコモコセット(￥770)・気まぐれセット(￥770)・お子様プレート(￥500)
・タピオカ各種(￥450～)・ドリンク各種(アイスのみ)（￥450～)
・からあげ(￥500)

※おかずのみも持ち帰り可
※電話による注文予約可
※Uber Eats可
※お電話・InstagramのDM・直接来店にて注文承っております。
※数量が多い場合は事前にご連絡下さい。","大阪府豊中市蛍池中町3-8-14 田中ビル一階","06-7220-6439","2020/04/09"
"コンテンタ　　（スペイン料理）","スペイン料理","◆テイクアウト
・タパス盛り合わせ(￥500円～)
・鴨もも肉のコンフィタード(￥1830)
・パスタパエリア(￥1300)

※電話による注文予約可
※ご注文を受けてからお作りしますので、余裕を持ってお越しください。
※ご予約いただければ営業時間外のお渡しも可能です。","大阪府豊中市蛍池東町2-7-2 プレステージ蛍池101","06-6841-1656","2020/05/09"
"ヴィジェイジャムナ　（インド料理）","インド料理","◆テイクアウト
・プレーンナンset(￥900)[&nbsp;ナン、カリ－２種、サラダ]
・チーズナンset(￥1300）
　[チーズナン,カリ－２種,サラダ, タンドリーチキン,ライス]
・ベジタブルset(￥1200)
　[ベジタブルナン,カリ－２種, サモサ,サラダ,ライス]

※デイナータイムは、プラス200円になります。
※電話による注文予約可
※店頭でご注文頂く場合は、10分ほどお待ちいただきます。
※その他、ご相談に応じます。
※三千円以上のご注文で、配達いたします。
※配達地域、状況によっては、行けない場合もあります。御了承下さい。
","大阪府豊中市蛍池東町１丁目６－２","06-6852-7555","2020/04/14"
"いなり寿司　ななや　（和食）","和食","◆テイクアウト
・いなり寿司各種(￥120～￥240)
・こどもセット(￥600)
・鯛の昆布締め(￥1000)

※電話による注文予約可
※ご予約をいただければ営業時間前のお渡しも可能です。
※事前にお電話いただきますとお待たせいたしません。
※メニュー以外にも期間限定商品などご用意しております。
※お気軽にお問い合わせください。","大阪府豊中市蛍池中町2-3-1 ルシオーレ","06-6843-7878","2020/04/15"
"餃子専門店　龍の餃子　（中華）","中華","◆テイクアウト
・焼き餃子（定番）(￥300)
・シャカシャカフライド餃子(￥380)
・豚トロ餃子(￥490)

※電話による注文予約可
※今後Uber Eatsｄの配達を検討中","大阪府豊中市蛍池東町2-6-6 蛍池サンビル1F","06-6846-9030","2020/04/15"
"旬に居酒屋　心芽　（和食）","和食","◆テイクアウト
・日替り晩酌セット(￥1500)
・まぐろかま塩焼き(￥1500)

※予約必須
※日により対応出来ない時がございますので前日迄に御連絡下さい。
※オードブルやケータリング等何なりと御要望下さい。","大阪府豊中市蛍池東町1-3-1 森ビル新館101","06-6842-1357","2020/04/17"
"ちょび呑みちょび食べふぅ　（和食）","和食","◆テイクアウト
・オムライスセット[オムライス&amp;唐揚げ２個](￥850)
・スパゲッティセット[イタリアンorきのこ&amp;唐揚げ２個](￥850)
・焼き飯セット[焼き飯(和風シャケ味)&amp;唐揚げ２個](￥850)

※予約必須
※ご注文はお電話か、ご来店でお願い致します。
※多数ご注文の際は、早めに、ご予約頂けると助かります。
※ご注文によっては多少お時間を頂く事がございます。","大阪府豊中市蛍池東町2-4-18","06-6848-8688","2020/04/17"
"海鮮網焼き　海ほたる　（和食/海鮮料理/沖縄料理/居酒屋）","和食/海鮮料理/沖縄料理/居酒屋","◆テイクアウト
・お造り盛り合わせ(￥990)
・海ぶどうとろろ丼（￥690)
・天使の海老まよ(￥620)

※テイクアウトは当日注文もok！
※事前に電話注文するとお渡しがスムーズになります。
※現在時短営業中なので、17時30分～20時のお渡しとなります。
※他にも多数のお持ち帰りメニューがございます、詳しくは店頭パンフレットもしくは下記URLからご参照ください。
 https://r.gnavi.co.jp/ka9f700/menu8/ 
","大阪府豊中市蛍池東町2-4-7 蛍ビルa棟103","06-6849-2007","2020/05/09"
"肉うどんの丸十　（和食）","和食","◆テイクアウト
・炭焼き鶏の親子丼(￥660)
・牛肉たっぷり他人丼(￥715)
・和牛すじ煮込み(￥605)

※電話による注文予約可
※Uber Eats対応可
※テイクアウトに対応できないメニューがあります。","大阪府豊中市蛍池東町1丁目6-6 三洋ビル1F","06-6858-0898","2020/05/08"
"二葉寿司　（寿司）","寿司","◆テイクアウト　※税込
・にぎり満腹セット12貫(￥1865)
・二葉オリジナル五目巻き(￥ 865)
・焼き穴子押し寿司 一本(￥690)

※予約必須
※ティクアウトは、お電話での受付となりますのでどうぞよろしくお願いいたします。ご注文内容は、ご相談くださいませ。","大阪府豊中市蛍池中町１－３－１５","06-6841-5531","2020/04/22"
"旬菜鮮魚　割烹居酒屋　三代目　若竹　（和食）","和食","◆テイクアウト
・若竹の『おかず弁当』700円が今だけ税込500円！ワンコイン
　おかず12種～15種類蛍池で今年で50年！
・別売ライス100円税込

※電話による注文予約可
","大阪府豊中市蛍池東町2丁目5-3 クレール若竹ビル1F","090-8211-6669","2020/04/28"
"DIALOGO　Kitchen　&　Café（イタリアン）","イタリアン","◆お弁当（￥880）
・ココナッツキーマカレー弁当
・煮込みハンバーグ弁当
・アンガス牛グリル弁当
◆テイクアウト
・前菜3種盛り(￥800)、5種盛り(￥1100）、その他盛り合わせ
・パスタ各種(￥1200～）、

","大阪府豊中市本町1-11-48 豊中建物ビル1F","06-6853-0039","2020/04/06"
"COPPA豊中（何でもありのレストラン）","何でもありのレストラン","◆テイクアウト日替わり（￥850）(税込)
メインと付け合わせを日替わりで販売
（メイン例）きんぴら根菜カレー/パラパラチャーハン/ 親子丼/生姜焼き丼/ 麻婆豆腐丼　等
（付け合わせ例）ポテサラ/ごぼうサラダ/きんぴら/枝豆　等

","大阪府豊中市本町1-3-19 1F&nbsp;","06-6868-9753","2020/04/15"
"寿司天ぷら　頂　（和食）","和食","◆弁当
・500円弁当11:30〜売切れ次第終了
◆テイクアウト
・にぎり寿司一人前1000円〜
","大阪府豊中市本町1-12-3","06-6855-9705","2020/04/06"
"餃子　さわ藤　（中華）","中華","【テイクアウト営業のみ！】4/8～◆テイクアウト
・冷凍餃子￥800(税抜)一箱2人前14個入り
・焼き餃子￥420(税抜)1人前からの注文可
","大阪府豊中市上野西3-13-63","06-7508-5175","2020/04/20"
"タイ屋台料理「タイキック」","","◆テイクアウト
・ほぼ全てのメニュー可能(￥880～￥1,530)

※安全衛生上、テイクアウトのオーダーは電話でのみ受付させて頂きます。
※商品のお渡し時間をお伝えしますので、その時間に受取にご来店下さい。
※安全衛生上、店内でお待ちになるのはご遠慮願います。","大阪府豊中市本町4-1-27","06-6335-7484","2020/04/12"
"きりん珈琲　（喫茶）","喫茶","◆テイクアウト
・きりんブランド珈琲（￥440)
・手作りケーキ(￥400～￥450)
・特製サンドウィッチ(￥650～￥850)

","大阪府豊中市玉井町1-2-15 エクセルコート松本1F","06-6858-6706","2020/04/27"
"cafe PRIMO PASSO　(カフェ)","カフェ","◆テイクアウト
・野菜たっぷり肉味噌丼(￥650)
・免疫力アップのカラフル野菜添え油淋鶏(￥700)
・スイーツ(フレンチトースト¥650・ワッフル¥550・はちみつスイートポテト¥300）
・サンド系(イングリッシュマフィンサンド¥380・たまごのホットサンド¥380)
","大阪府豊中市本町1-9-10 マストメゾン豊中207号","090-2387-4520","2020/04/14"
